API_Label,Spud_Date,Ground_Ele,Well_Stat,Stat_Date,Section,Township,Range,Sec_Twn_Rng,lat1,long1,Assessor_acct,stripper_flg,mill_cd,tot_mill,asd_val,Tax_Est
05-013-06270,9/11/1992,5198,PA,8/4/2021,12,1S,69W,12-1S-69W,39.97593,-105.05892,P0265028    ,N,4208,79.216,74,5.861984
05-013-06271,7/22/1992,5233,PA,9/26/2018,15,1S,69W,15-1S-69W,39.96019,-105.09467,P0265025    ,N,111,104.518,3,0.313554
05-013-06273,3/16/2004,5195,PA,2/18/2021,35,1N,69W,35-1N-69W,40.01304,-105.07687,P0265030    ,N,4201,76.716,3977,305.099532
05-013-06274,9/2/1992,5173,SI,3/1/2022,35,1N,69W,35-1N-69W,40.00943,-105.07685,P0265024    ,N,4201,76.716,3979,305.252964
05-013-06275,7/12/2005,5204,SI,3/1/2022,35,1N,69W,35-1N-69W,40.00938,-105.08158,P0265031    ,N,4201,76.716,32029,2457.136764
05-013-06277,10/5/1992,5246,SI,5/1/2022,22,1S,69W,22-1S-69W,39.95454,-105.09269,P0265039    ,N,4204,87.302,25255,2204.81201
05-013-06278,10/8/1992,5181,SI,5/1/2022,14,1S,69W,14-1S-69W,39.96826,-105.0823,P0270063    ,N,112,96.432,25212,2431.243584
05-013-06279,11/9/1992,5117,PA,5/4/2021,1,1S,69W,1-1S-69W,39.99882,-105.06472,P0265011    ,N,4208,79.216,10,0.79216
05-013-06280,11/2/1992,5144,PA,7/9/2021,1,1S,69W,1-1S-69W,39.99878,-105.07008,P0265012    ,N,4208,79.216,32,2.534912
05-013-06281,6/21/2005,5148,PA,5/7/2021,1,1S,69W,1-1S-69W,39.99555,-105.07012,P0265013    ,N,4208,79.216,11,0.871376
05-013-06282,11/7/1992,5247,SI,5/1/2022,22,1S,69W,22-1S-69W,39.94899,-105.09666,P0270054    ,N,4253,96.963,25212,2444.631156
05-013-06284,10/17/1992,5123,PA,7/7/2021,23,1N,69W,23-1N-69W,40.03085,-105.09054,P0265014    ,N,1404,168.048,4040,678.91392
05-013-06285,11/27/1992,5222,SI,10/1/2022,15,1S,69W,15-1S-69W,39.96821,-105.09272,P0265033    ,N,112,96.432,31606,3047.829792
05-013-06286,10/28/1992,5288,SI,10/1/2022,23,1S,69W,23-1S-69W,39.95429,-105.07744,P0265023    ,N,4290,91.454,25354,2318.724716
05-013-06290,3/18/1993,5185,SI,4/1/2022,2,1S,69W,2-1S-69W,39.99884,-105.07886,P0265019    ,N,4201,76.716,27298,2094.193368
05-013-06291,5/9/2003,5185,SI,10/1/2022,2,1S,69W,2-1S-69W,39.99568,-105.07792,P0265020    ,N,4201,76.716,5457,418.639212
05-013-06292,,5273,PA,7/1/2021,15,1S,69W,15-1S-69W,39.967147,-105.106777,P0265026    ,N,4204,87.302,21319,1861.191338
05-013-06293,1/31/1993,5148,SI,4/1/2022,2,1S,69W,2-1S-69W,39.99877,-105.07516,P0265018    ,N,4201,76.716,5457,418.639212
05-013-06294,3/27/1993,5281,SI,5/1/2022,22,1S,69W,22-1S-69W,39.95008,-105.10649,P0265038    ,N,4204,87.302,25212,2201.058024
05-013-06295,12/29/1992,5100,PA,11/9/2016,22,1N,69W,22-1N-69W,40.03495,-105.099314,P0270125    ,N,4197,92.963,21844,2030.683772
05-013-06302,4/20/1993,5175,PA,1/9/2014,9,1N,69W,9-1N-69W,40.07104,-105.12409,P0270042    ,N,4531,93.963,819,76.955697
05-013-06303,5/1/1993,5187,SI,4/1/2022,9,1N,69W,9-1N-69W,40.071,-105.12891,P0270041    ,N,4531,93.963,3977,373.690851
05-013-06305,7/31/1993,5319,SI,10/1/2022,8,1N,69W,8-1N-69W,40.071384,-105.143817,P0270091    ,N,4231,98.673,3982,392.915886
05-013-06306,8/7/1993,5336,SI,10/1/2022,8,1N,69W,8-1N-69W,40.071018,-105.148486,P0270092    ,N,4231,98.673,21477,2119.200021
05-013-06320,6/25/1993,5055,SI,3/1/2022,16,1N,69W,16-1N-69W,40.0568,-105.1192,P0272817    ,N,4257,88.302,3977,351.177054
05-013-06321,5/26/1993,5055,SI,3/1/2022,16,1N,69W,16-1N-69W,40.05633,-105.12431,P0272818    ,N,4257,88.302,3977,351.177054
05-013-06322,6/3/1993,5043,PA,12/1/2021,16,1N,69W,16-1N-69W,40.0562,-105.12731,P0272819    ,N,4257,88.302,3977,351.177054
05-013-06335,7/7/1993,5049,SI,3/1/2022,16,1N,69W,16-1N-69W,40.05289,-105.12774,P0272820    ,N,4257,88.302,27792,2454.089184
05-013-06336,5/22/1993,5245,SI,5/1/2022,12,1S,69W,12-1S-69W,39.977253,-105.054632,P0270081    ,Y,4208,79.216,6041,478.543856
05-013-06337,9/25/1995,5242,SI,7/1/2022,12,1S,69W,12-1S-69W,39.97463,-105.06548,P0274221    ,N,4290,91.454,27302,2496.877108
05-013-06340,8/16/1993,5138,SI,10/1/2021,1,1S,69W,1-1S-69W,39.998502,-105.056761,P0270071    ,N,4208,79.216,7360,583.02976
05-013-06341,6/2/1993,5155,SI,8/1/2022,1,1S,69W,1-1S-69W,39.99206,-105.05487,P0270083    ,N,4208,79.216,6041,478.543856
05-013-06342,7/6/2005,5129,SI,5/1/2022,1,1S,69W,1-1S-69W,39.98826,-105.06008,P0272824    ,N,4208,79.216,6041,478.543856
05-013-06343,5/21/1993,5112,PA,8/31/2021,1,1S,69W,1-1S-69W,39.99164,-105.05948,P0270084    ,N,4208,79.216,6048,479.098368
05-013-06346,5/3/1993,5142,SI,6/1/2022,12,1S,69W,12-1S-69W,39.98477,-105.05498,P0270064    ,N,112,96.432,42465,4094.98488
05-013-06348,6/6/1993,5132,SI,6/1/2022,12,1S,69W,12-1S-69W,39.984568,-105.063773,P0270077    ,N,112,96.432,5453,525.843696
05-013-06351,5/26/1993,5184,SI,6/1/2022,12,1S,69W,12-1S-69W,39.981175,-105.055915,P0270076    ,N,112,96.432,5453,525.843696
05-013-06352,5/8/1993,5000,SI,5/1/2022,36,2N,69W,36-2N-69W,40.09248,-105.06731,P0272810    ,N,2794,101.278,6061,613.845958
05-013-06353,5/15/1993,5038,SI,5/1/2022,36,2N,69W,36-2N-69W,40.092284,-105.071481,P0272811    ,N,2794,101.278,6041,611.820398
05-013-06354,5/28/1993,5140,SI,5/1/2022,27,1N,69W,27-1N-69W,40.0272,-105.10552,P0270075    ,N,4530,93.963,3977,373.690851
05-013-06355,6/4/1993,5151,SI,5/1/2022,27,1N,69W,27-1N-69W,40.0237,-105.11042,P0270074    ,N,4204,87.302,21431,1870.969162
05-013-06358,7/27/1993,5092,SI,5/1/2022,21,1N,69W,21-1N-69W,40.04149,-105.1233,P0272822    ,N,4257,88.302,3977,351.177054
05-013-06361,6/15/1993,5213,PA,10/13/2021,8,1N,69W,8-1N-69W,40.071093,-105.133049,P0270068    ,Y,1456,95.173,126,11.991798
05-013-06368,6/22/1993,5229,SI,12/1/2020,13,1S,69W,13-1S-69W,39.97059,-105.05975,P0270066    ,N,4290,91.454,3977,363.712558
05-013-06370,6/22/1993,5513,PA,1/9/2017,28,1S,69W,28-1S-69W,39.934326,-105.112399,P0270087    ,N,4204,87.302,24494,2138.375188
05-013-06371,6/28/1993,5174,PR,11/1/2022,4,1N,69W,4-1N-69W,40.085964,-105.12345,P0270037    ,N,4794,101.278,5466,553.585548
05-013-06372,6/15/2005,5207,SI,3/1/2021,4,1N,69W,4-1N-69W,40.08592,-105.129602,P0270038    ,N,4794,101.278,5466,553.585548
05-013-06373,7/9/1993,5197,PR,11/1/2022,4,1N,69W,4-1N-69W,40.08135,-105.12955,P0270039    ,N,4531,93.963,5454,512.474202
05-013-06374,6/14/1993,5132,SI,6/1/2022,12,1S,69W,12-1S-69W,39.984481,-105.063846,P0270093    ,N,112,96.432,3389,326.808048
05-013-06383,8/4/1993,5393,SI,5/1/2022,6,1N,69W,6-1N-69W,40.07844,-105.15202,P0270072    ,N,4249,104.778,4057,425.084346
05-013-06384,7/28/1993,5341,SI,2/7/2022,6,1N,69W,6-1N-69W,40.07775,-105.15772,P0270073    ,N,4249,104.778,3977,416.702106
05-013-06385,7/21/1993,5402,SI,5/1/2022,6,1N,69W,6-1N-69W,40.07453,-105.15727,P0270082    ,N,4249,104.778,21431,2245.497318
05-013-06395,9/28/1993,5197,SI,10/1/2022,14,1S,69W,14-1S-69W,39.97002,-105.07377,P0272812    ,N,4208,79.216,6084,481.950144
05-013-06396,9/11/1993,5247,SI,10/1/2022,14,1S,69W,14-1S-69W,39.96285,-105.07452,P0272813    ,N,4290,91.454,4247,388.405138
05-013-06397,9/21/1993,5280,SI,10/1/2022,14,1S,69W,14-1S-69W,39.963148,-105.078318,P0272814    ,N,4290,91.454,27666,2530.166364
05-013-06398,9/4/1993,5313,SI,10/1/2022,14,1S,69W,14-1S-69W,39.95962,-105.0733,P0272815    ,N,4290,91.454,32210,2945.73334
05-013-06409,9/21/2004,5142,SI,11/1/2020,36,1N,69W,36-1N-69W,40.01304,-105.067337,P0272807    ,N,4208,79.216,3977,315.042032
05-013-06414,8/28/1993,5199,PA,6/10/2021,33,2N,69W,33-2N-69W,40.09675,-105.12917,P0272805    ,N,3274,101.278,6054,613.137012
05-013-06415,8/20/1993,5161,SI,6/1/2022,33,2N,69W,33-2N-69W,40.096711,-105.124433,P0272806    ,N,3274,101.278,6041,611.820398
05-013-06416,8/24/1993,5070,SI,5/1/2022,21,1N,69W,21-1N-69W,40.04144,-105.12892,P0272821    ,N,4257,88.302,29905,2640.67131
05-013-06418,11/26/1994,5067,PA,10/8/2021,2,1N,69W,2-1N-69W,40.082453,-105.085724,P0270086    ,N,4794,101.278,5453,552.268934
05-013-06421,9/4/1993,5183,SI,10/1/2022,27,1N,69W,27-1N-69W,40.02409,-105.09513,P0270127    ,N,4199,92.963,3990,370.92237
05-013-06422,1/12/1995,5174,SI,10/1/2022,27,1N,69W,27-1N-69W,40.02506,-105.0999,P0270123    ,N,4531,93.963,3985,374.442555
05-013-06423,3/2/2005,5085,PR,11/1/2022,33,2N,69W,33-2N-69W,40.09989,-105.11474,P0272803    ,N,2794,101.278,6082,615.972796
05-013-06424,11/8/1993,5092,PR,11/1/2022,33,2N,69W,33-2N-69W,40.099353,-105.119377,P0272804    ,N,2794,101.278,6044,612.124232
05-013-06426,10/2/1993,5148,PA,12/3/2018,33,2N,69W,33-2N-69W,40.09267,-105.1149,P0270055    ,N,2794,101.278,4,0.405112
05-013-06431,,5066,PA,3/7/2022,34,2N,69W,34-2N-69W,40.100842,-105.105356,P0270142    ,N,2794,101.278,24082,2438.976796
05-013-06433,11/18/1994,5100,PA,4/8/2016,34,2N,69W,34-2N-69W,40.096731,-105.110392,P0272835    ,N,2794,101.278,4005,405.61839
05-013-06437,2/22/2005,5073,SI,4/1/2022,34,2N,69W,34-2N-69W,40.092696,-105.100455,P0272802    ,N,2794,101.278,6041,611.820398
05-013-06441,10/6/1993,5067,SI,4/1/2022,34,2N,69W,34-2N-69W,40.08924,-105.0998,P0272801    ,N,2794,101.278,6041,611.820398
05-013-06442,1/7/1995,5143,SI,10/1/2022,27,1N,69W,27-1N-69W,40.02758,-105.1004,P0270122    ,N,4199,92.963,32037,2978.255631
05-013-06443,8/31/1993,5138,SI,5/1/2022,1,1S,69W,1-1S-69W,39.998412,-105.056779,P0270036    ,N,4208,79.216,7360,583.02976
05-013-06447,9/9/1993,5077,SI,4/1/2022,34,2N,69W,34-2N-69W,40.08853,-105.09538,P0272800    ,N,2794,101.278,23495,2379.52661
05-013-06448,10/14/1993,5154,PA,6/27/2013,1,1S,69W,1-1S-69W,39.99185,-105.06885,P0270067    ,N,4208,79.216,34831,2759.172496
05-013-06449,2/1/1995,4952,PR,7/1/2017,1,1N,69W,1-1N-69W,40.0843,-105.058782,P0274224    ,N,4794,101.278,69905,7079.83859
05-013-06454,5/10/1994,5226,PR,6/30/1994,26,1N,69W,26-1N-69W,40.01647,-105.08153,P0272825    ,Y,4531,93.963,36181,3399.675303
05-013-06457,7/11/1994,5069,PA,8/12/2021,23,1N,69W,23-1N-69W,40.04245,-105.090381,P0270143    ,N,1402,111.053,15434,1713.992002
05-013-06458,7/1/1994,5085,PA,8/11/2021,23,1N,69W,23-1N-69W,40.039231,-105.089672,P0281725    ,N,1402,111.053,6080,675.20224
