mill_cd,codes,type,code_type,dscr,tax_dist,name,curr,tot_mill,percent_rounded,,,mill_cd
1433,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,97.673,20.23,,,
1434,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.603,18.89,,,
1435,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,103.603,19.07,,,
1436,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.603,18.89,,,
1437,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,127.373,15.51,,,
1438,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,127.373,15.51,,,
1439,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,172.514,11.45,,,
1440,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,114.203,17.3,,,
1441,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,103.603,19.07,,,
1442,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,154.603,12.78,,,
1443,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,144.203,13.7,,,
1444,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,159.223,12.41,,,
1445,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,114.203,17.3,,,
1446,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,182.114,10.85,,,
1447,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.603,18.89,,,
1448,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,195.284,10.12,,,
1449,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,142.909,13.82,,,
